model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,512,,,2.2792809009552,2.3113694190979004,15.454518409998856,0.2417469739993976,114.91784815830646,7346.524221661718,2.65,6.23,57.46388443017657,63.92848751867879,-0.032088518142700195
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,1024,,,2.2792809009552,2.311606168746948,30.83149616099945,0.4020122330002778,57.60343224103946,4417.776013295528,5.13,12.66,59.478672985782,76.69293028945751,-0.0323252677917476
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,16,2048,,,2.2821695804595947,,61.62698452999939,,28.81854456363123,,12.03,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,256,,,2.2803869247436523,2.2940025329589844,15.453216900999903,0.2398015840008156,229.85505366006785,14812.24577727526,2.51,6.09,58.78489326765188,64.44167983872593,-0.013615608215332031
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,512,,,2.2779381275177,2.2744903564453125,30.822263908999957,0.3907933450009295,115.24137261581336,9089.202888016302,4.56,12.11,62.34516928158547,78.87100510610448,0.0034477710723876953
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,32,1024,,,2.2804834842681885,,61.58846631899905,,57.67313609665687,,9.54,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,64,256,,,2.251950979232788,2.2626256942749023,30.816426933999537,0.3884143289997155,232.3436138568169,18433.923430268827,4.52,11.83,61.792054099746416,79.33905789047785,-0.010674715042114258
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,64,512,,,2.301398754119873,,61.56533297600072,,116.29921668402407,,8.87,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,128,256,,,2.2474687099456787,,61.32342482999957,,235.8641912139939,,8.71,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,128,512,,,2.2610230445861816,,121.80642023499968,,118.74579330132826,,14.76,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,256,,,2.392479658126831,2.432738780975342,0.0904966230000354,0.0889334129997223,1204.4648340077538,1225.6360834857458,0.4626760482788086,0.6323108673095703,26.82775637757795,1.017577308095867,-0.04025912284851074
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,512,,,2.3822755813598633,2.568483352661133,0.1007201080001323,0.0919167430001834,1082.2069412381568,1185.855769495471,0.4993457794189453,0.9956254959106444,49.8460232818545,1.0957754236345312,-0.18620777130126953
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,1024,,,2.5293304920196533,2.611402988433838,0.1260596490001262,0.1005618030003461,864.6700261706334,1083.9105579642885,0.7632369995117188,1.76,56.63426139137962,1.2535539860964142,-0.08207249641418457
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,1,2048,,,2.5660040378570557,2.5795726776123047,0.1757790470001055,0.1288897399999768,620.0966603257019,845.6840707415466,1.48,3.46,57.22543352601156,1.3637939451203573,-0.013568639755249023
